state,public_charging_stations
Andaman & Nicobar Island,3
Andhra Pradesh,327
Arunachal Pradesh,9
Assam,86
Bihar,124
Chandigarh,12
Chhattisgarh,149
DNH and DD,1
Delhi,1886
Goa,113
Gujarat,476
Haryana,377
Himachal Pradesh,44
Jammu and Kashmir,47
Jharkhand,135
Karnataka,1041
Kerala,852
Ladakh,1
Madhya Pradesh,341
Maharashtra,3079
Manipur,17
Meghalaya,21
Mizoram,0
Nagaland,6
Odisha,198
Puducherry,23
Punjab,158
Rajasthan,500
Sikkim,2
Tamil Nadu,643
Tripura,18
Uttar Pradesh,582
Uttarakhand,76
West Bengal,318
